Word,Accuracy,Processing_Time,Sample_Count
lead,1.0,0.4996887,1
tear,1.0,0.5154837,5
bass,0.4,0.49310857,5
bow,0.0,0.50761944,3
desert,1.0,0.4946645,4
close,1.0,0.4985024,2
dove,0.9473684210526315,0.5023367,19
row,0.6666666666666666,0.51920974,6
minute,0.4,0.52546656,5
object,1.0,0.5209555,6
wound,0.9090909090909091,0.50764394,11
produce,0.6666666666666666,0.5001183,6
content,0.9090909090909091,0.47935054,11
present,0.8333333333333334,0.49292776,6
entrance,1.0,0.5016972,2
convict,0.6666666666666666,0.5137379,3
invalid,0.8333333333333334,0.48861587,18
subject,0.6666666666666666,0.53037626,3
rebel,0.5,0.49421665,2
appropriate,0.0,0.519565,1
buffet,0.6,0.49255624,5
perfect,0.5,0.5015657,2
project,0.6666666666666666,0.4631848,3
permit,0.6666666666666666,0.50652593,3
record,0.8571428571428571,0.5149182,7
refuse,1.0,0.51324505,12
